Actvitiy,x,y,z,Cluster,Activity_raw,Cluster_Name
10,0.0597147882293476,-0.0246824019370252,0.0525231661661763,5,Inactivity,Cluster 5: High-Actvitiy / Sports
10,-2.9587853366821254e-07,-2.3462749691796413e-06,-2.0997479481216232e-05,8,Inactivity,Cluster 8: Low-Actvitiy / Home Activities
10,0.0055972543153855,-0.0050395217280728,-0.0030839540849564,8,Inactivity,Cluster 8: Low-Actvitiy / Home Activities
10,0.0,0.0,0.0,8,Inactivity,Cluster 8: Low-Actvitiy / Home Activities
10,0.0486500597441039,-0.0433177478043422,-0.0033842890603704,6,Inactivity,Cluster 6: Low-Actvitiy / Home Activities
10,0.0789029542525736,-0.0767451665874363,-0.007499514805987,2,Inactivity,Cluster 2: Low-Actvitiy / Occupation
10,0.0802748801447399,-0.0674678825066969,-0.0391741112340605,2,Inactivity,Cluster 2: Low-Actvitiy / Occupation
10,0.0446172768057292,-0.0077899169290415,-0.0283753051765821,6,Inactivity,Cluster 6: Low-Actvitiy / Home Activities
10,0.0697143888576971,-0.0318073856317552,-0.0518571439593255,6,Inactivity,Cluster 6: Low-Actvitiy / Home Activities
10,0.0413459477850318,0.0409923715158231,0.0002737213552155,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.037224818121259,0.0408999705426579,-0.0069667546678866,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.0,0.0,0.0,8,Lawn & Garden,Cluster 8: Low-Actvitiy / Home Activities
10,0.0332976661589941,-0.0210160533934844,-0.0198553735154261,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0062989530197688,0.0021800517795592,0.0082740148192817,8,Lawn & Garden,Cluster 8: Low-Actvitiy / Home Activities
10,0.0282345392411538,0.0031081181035831,-0.0055135765025309,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.0044354697625979,0.0065170101282466,-0.001351216151337,8,Lawn & Garden,Cluster 8: Low-Actvitiy / Home Activities
10,0.0408070621107898,-0.0328823266481093,-0.0165602509801484,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0474014972573037,-0.0236448554127072,-0.0430373551092775,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0309421476825123,-0.0233445239444872,-0.0292599238068814,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0598162469257416,0.0237454792348233,0.0081334264208356,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.0543515451132669,-0.0001748003083762,-0.0438695354958499,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0288989682796289,-0.0234313348162974,-0.0150461959591845,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0301264410283011,-0.0213894979313823,-0.0221110430685202,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.033813890005749,0.0084454332454188,-0.0062520735271733,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.0326413853684087,0.0196024346287717,0.0109246381907423,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,0.036089434995453,0.0058261041951652,-0.0143111012719441,7,Lawn & Garden,Cluster 7: High-Actvitiy / Occupation
10,5.509182985595784e-07,-6.269438717697153e-06,-1.7742572922315994e-05,8,Lawn & Garden,Cluster 8: Low-Actvitiy / Home Activities
10,0.0025733526307757,-0.0024424738180693,-0.0024245646986598,8,Lawn & Garden,Cluster 8: Low-Actvitiy / Home Activities
10,0.0450354878244669,-0.0164402888321913,-0.0339760976389183,6,Lawn & Garden,Cluster 6: Low-Actvitiy / Home Activities
10,0.0321635739918393,0.0331095878423195,-0.0179167346437363,7,Miscellaneous,Cluster 7: High-Actvitiy / Occupation
10,0.0167265220388052,-0.0028722148164386,0.061173316838566,5,Miscellaneous,Cluster 5: High-Actvitiy / Sports
10,0.0156282997368519,-0.0008326632138439,0.0522245423504675,5,Miscellaneous,Cluster 5: High-Actvitiy / Sports
10,0.0137130213528566,0.0004266366317397,-0.0096777962345602,8,Miscellaneous,Cluster 8: Low-Actvitiy / Home Activities
10,0.0158997547480007,0.0053734653253485,-0.0062425113011622,8,Miscellaneous,Cluster 8: Low-Actvitiy / Home Activities
10,0.0087672433805834,-0.0109788851703829,-0.0060916943144756,8,Miscellaneous,Cluster 8: Low-Actvitiy / Home Activities
10,-5.995038344744804e-07,-3.992020084121203e-06,-2.7643971995604426e-06,8,Miscellaneous,Cluster 8: Low-Actvitiy / Home Activities
10,4.566097397835878e-07,-4.257620824237327e-07,1.4605595369141355e-05,8,Miscellaneous,Cluster 8: Low-Actvitiy / Home Activities
10,0.0007157740369323,-0.0007136104115298,-0.0009270118552317,8,Music Playing,Cluster 8: Low-Actvitiy / Home Activities
10,0.0066900475437837,-0.0048125833102828,0.0019263925842299,8,Music Playing,Cluster 8: Low-Actvitiy / Home Activities
