Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
123,Conditioning Exercise,"ExerCube, workout series",4,0.0,0.0,0.0,0.0,0.0
124,Conditioning Exercise,"Blackbox Immersive virtual reality exergaming system, vigorous intensity",0,0.08670871230572784,-0.04528432508525566,0.044916594768997155,0.08670871230572784,-0.04528432508525566
125,Conditioning Exercise,"Wand exercise, Life-Build-Line",0,0.08027716667350929,0.029184883287098125,0.05616285664591489,0.08027716667350929,0.029184883287098125
126,Conditioning Exercise,"Zumba, group class",4,0.020078372109281494,0.02237352004409721,0.01227908017099253,0.020078372109281494,0.02237352004409721
127,Conditioning Exercise,"Zumba, home video",4,0.06111379840807491,-0.017447862364422854,-0.024461809555803224,0.06111379840807491,-0.017447862364422854
128,Conditioning Exercise,"Sit to stand exercise, 6-12 times/min",1,0.10706389273473249,-0.00131375603366371,0.09508142898731714,0.10706389273473249,-0.00131375603366371
129,Conditioning Exercise,"Sit to stand exercise, 18-24 times/min",1,0.09220797602975031,-0.0005459496757935004,0.0680211836425221,0.09220797602975031,-0.0005459496757935004
130,Dancing,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)",4,0.00650196745540571,0.0017320124253271817,0.0025112003695696417,0.00650196745540571,0.0017320124253271817
132,Dancing,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)",4,0.008128286975113563,0.002908069584858336,0.0021337181567825203,0.008128286975113563,0.002908069584858336
133,Dancing,"Ballet, modern, or jazz, performance, vigorous effort",2,0.16153099677215185,-0.07816230863288404,-0.04166347990976309,0.16153099677215185,-0.07816230863288404
134,Dancing,Tap,4,0.0,0.0,0.0,0.0,0.0
135,Dancing,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)",4,0.030150277093845212,0.014010269751070647,0.0027480699801872115,0.030150277093845212,0.014010269751070647
136,Dancing,"Chinese square dance, Ballet & Tibetan dance",4,0.033153194211348644,-0.0070515962660787695,-0.001175438426408331,0.033153194211348644,-0.0070515962660787695
137,Dancing,"Chinese square dance, aerobic dance",0,0.050577189766113154,0.0046571248278424624,0.0004146605497912391,0.050577189766113154,0.0046571248278424624
139,Dancing,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)",2,0.15318488511583914,-0.019563323779151234,-0.004597044405199254,0.15318488511583914,-0.019563323779151234
142,Dancing,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba,",0,0.04501112216250604,0.016145730605873765,0.012376226074937408,0.04501112216250604,0.016145730605873765
143,Dancing,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba,  paso doble, jive)",0,0.04247162437191308,0.015266450835134398,0.011703096104835126,0.04247162437191308,0.015266450835134398
